xcoord ycoord zcoord
1.767914878064064388e-01 3.516601337214424194e-02 9.836199069471436296e-01
5.073973131414274418e-01 1.009276007590389768e-01 8.557812723014475154e-01
7.141499296201407887e-01 1.420532531647583363e-01 6.854274223350398376e-01
8.236298210971938483e-01 1.638301575589269921e-01 5.429489822014788025e-01
8.943779461510147355e-01 1.779028346010546047e-01 4.104128054527569347e-01
9.363761727653989730e-01 1.862568012826691377e-01 2.975030538552029813e-01
9.647199262453536317e-01 1.918947243877923425e-01 1.802550378139058662e-01
9.789958908405663740e-01 1.947343903020543054e-01 6.037849742228628552e-02
1.498765864067088394e-01 1.001443333612288128e-01 9.836199069471436296e-01
4.301506717837424998e-01 2.874174899725324139e-01 8.557812723014475154e-01
6.054270766207072718e-01 4.045334394158871527e-01 6.854274223350398376e-01
6.982396470580665149e-01 4.665488163125108834e-01 5.429489822014788025e-01
7.582170114057937838e-01 5.066244099283647717e-01 4.104128054527569347e-01
7.938213887330104468e-01 5.304144942748292291e-01 2.975030538552029813e-01
8.178500626824070086e-01 5.464699409053439538e-01 1.802550378139058662e-01
8.299526410799400455e-01 5.545566252543190355e-01 6.037849742228628552e-02
1.001443333612288267e-01 1.498765864067088394e-01 9.836199069471436296e-01
2.874174899725324694e-01 4.301506717837424998e-01 8.557812723014475154e-01
4.045334394158872082e-01 6.054270766207072718e-01 6.854274223350398376e-01
4.665488163125109389e-01 6.982396470580665149e-01 5.429489822014788025e-01
5.066244099283648827e-01 7.582170114057937838e-01 4.104128054527569347e-01
5.304144942748293401e-01 7.938213887330104468e-01 2.975030538552029813e-01
5.464699409053440649e-01 8.178500626824070086e-01 1.802550378139058662e-01
5.545566252543191466e-01 8.299526410799400455e-01 6.037849742228628552e-02
3.516601337214425582e-02 1.767914878064064388e-01 9.836199069471436296e-01
1.009276007590390184e-01 5.073973131414274418e-01 8.557812723014475154e-01
1.420532531647583918e-01 7.141499296201407887e-01 6.854274223350398376e-01
1.638301575589270753e-01 8.236298210971938483e-01 5.429489822014788025e-01
1.779028346010546879e-01 8.943779461510147355e-01 4.104128054527569347e-01
1.862568012826692210e-01 9.363761727653989730e-01 2.975030538552029813e-01
1.918947243877924258e-01 9.647199262453536317e-01 1.802550378139058662e-01
1.947343903020543887e-01 9.789958908405663740e-01 6.037849742228628552e-02
-3.516601337214423501e-02 1.767914878064064388e-01 9.836199069471436296e-01
-1.009276007590389490e-01 5.073973131414274418e-01 8.557812723014475154e-01
-1.420532531647583085e-01 7.141499296201407887e-01 6.854274223350398376e-01
-1.638301575589269643e-01 8.236298210971938483e-01 5.429489822014788025e-01
-1.779028346010545492e-01 8.943779461510147355e-01 4.104128054527569347e-01
-1.862568012826691100e-01 9.363761727653989730e-01 2.975030538552029813e-01
-1.918947243877922870e-01 9.647199262453536317e-01 1.802550378139058662e-01
-1.947343903020542499e-01 9.789958908405663740e-01 6.037849742228628552e-02
-1.001443333612287712e-01 1.498765864067088671e-01 9.836199069471436296e-01
-2.874174899725323029e-01 4.301506717837426108e-01 8.557812723014475154e-01
-4.045334394158869862e-01 6.054270766207073828e-01 6.854274223350398376e-01
-4.665488163125106613e-01 6.982396470580667369e-01 5.429489822014788025e-01
-5.066244099283646607e-01 7.582170114057940058e-01 4.104128054527569347e-01
-5.304144942748290070e-01 7.938213887330106688e-01 2.975030538552029813e-01
-5.464699409053437318e-01 8.178500626824072306e-01 1.802550378139058662e-01
-5.545566252543188135e-01 8.299526410799402676e-01 6.037849742228628552e-02
-1.498765864067088394e-01 1.001443333612288128e-01 9.836199069471436296e-01
-4.301506717837425553e-01 2.874174899725324139e-01 8.557812723014475154e-01
-6.054270766207072718e-01 4.045334394158871527e-01 6.854274223350398376e-01
-6.982396470580666259e-01 4.665488163125108834e-01 5.429489822014788025e-01
-7.582170114057938948e-01 5.066244099283647717e-01 4.104128054527569347e-01
-7.938213887330105578e-01 5.304144942748292291e-01 2.975030538552029813e-01
-8.178500626824071196e-01 5.464699409053439538e-01 1.802550378139058662e-01
-8.299526410799401566e-01 5.545566252543190355e-01 6.037849742228628552e-02
-1.767914878064064388e-01 3.516601337214430439e-02 9.836199069471436296e-01
-5.073973131414274418e-01 1.009276007590391711e-01 8.557812723014475154e-01
-7.141499296201407887e-01 1.420532531647586139e-01 6.854274223350398376e-01
-8.236298210971938483e-01 1.638301575589272974e-01 5.429489822014788025e-01
-8.943779461510147355e-01 1.779028346010549377e-01 4.104128054527569347e-01
-9.363761727653989730e-01 1.862568012826694985e-01 2.975030538552029813e-01
-9.647199262453536317e-01 1.918947243877926756e-01 1.802550378139058662e-01
-9.789958908405663740e-01 1.947343903020546663e-01 6.037849742228628552e-02
