"ADMP"	"APLNRB"	"AXIN2"	"BAMBIA"	"BMP2B"	"BMP4"	"BMP7A"	"CDX4"	"CHD"	"CST3"	"EVE1"	"FGF8A"	"FOXB1A"	"FOXD3"	"FOXD5"	"FOXI1"	"GATA2A"	"GATA5"	"GSC"	"HER1"	"HES6"	"ID3"	"ISM1"	"LHX1A"	"LFT1"	"LFT2"	"MIXL1"	"NDR1"	"NDR2"	"NOG1"	"NOTO"	"OSR1"	"OTX1A"	"OTX1B"	"SEBOX"	"SNAI1A"	"SOX3"	"SP5L"	"SZL"	"TA"	"TBX16"	"TPH1B"	"VED"	"VENT"	"VOX"	"WNT8A"	"WNT11"
"1"	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	1	0	0
"2"	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	1	0	0
"3"	0	0	0	1	1	1	1	0	0	0	1	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	1	1	0	0
"4"	0	0	1	1	1	1	1	0	0	0	1	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	1	1	0	0
"5"	0	0	1	1	1	1	1	1	0	0	1	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	1	0	1	1	1	0	0
"6"	0	1	1	1	1	1	1	1	0	0	1	1	0	0	1	0	0	1	0	1	1	1	1	0	1	0	0	0	0	0	0	0	1	0	1	1	0	1	1	1	1	0	1	1	1	0	1
"7"	0	1	1	1	1	1	1	1	0	0	1	1	0	0	1	0	0	1	0	1	1	1	1	1	1	0	1	1	1	0	0	1	1	0	1	1	0	1	0	1	1	0	1	1	1	1	1
"8"	0	1	1	1	1	1	1	1	0	0	1	1	0	0	1	0	0	1	0	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	1	1	0	1	0	1	1	0	1	1	1	1	1
"9"	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	1	0	0
"10"	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	1	0	0
"11"	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	1	1	0	0
"12"	0	0	1	1	1	1	1	0	0	0	1	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	1	1	0	0
"13"	0	0	1	1	1	1	1	1	0	0	1	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	1	0	1	1	1	0	0
"14"	0	1	1	1	1	1	1	1	0	0	1	1	0	0	1	0	0	1	0	1	1	1	1	0	1	0	0	0	0	0	0	0	1	0	1	1	0	1	1	1	1	0	1	1	1	0	1
"15"	0	1	1	1	1	1	1	1	0	0	1	1	0	0	1	0	0	1	0	1	1	1	1	1	1	0	1	1	1	0	0	1	1	0	1	1	0	1	0	1	1	0	1	1	1	1	1
"16"	0	1	1	1	1	1	1	1	0	0	1	1	0	0	1	0	0	1	0	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	1	1	0	1	0	1	1	0	1	1	1	1	1
"17"	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	0
"18"	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	0
"19"	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	1	0	0
"20"	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	1	0	0
"21"	0	0	1	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	0	1	1	1	0	0
"22"	0	1	1	1	1	1	1	1	0	0	1	1	0	0	1	0	0	1	0	1	1	1	1	0	1	0	0	0	0	0	0	0	1	0	1	1	0	1	0	1	1	0	1	1	1	0	1
"23"	0	1	1	1	1	1	1	1	0	0	1	1	0	0	1	0	0	1	0	1	1	1	1	1	1	0	1	1	1	0	0	1	1	0	1	1	0	1	0	1	1	0	1	1	1	1	1
"24"	0	1	1	1	1	1	1	1	0	0	1	1	0	0	1	0	0	1	0	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	1	1	0	1	0	1	1	0	1	1	1	1	1
"25"	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	1	1	0	0
"26"	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	1	1	0	0
"27"	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	1	1	1	0	0
"28"	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	1	0	0
"29"	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	0	1	1	1	0	0
"30"	0	1	1	1	1	1	1	0	0	0	1	1	0	0	1	0	0	1	0	1	1	1	1	0	1	0	0	0	0	0	0	0	1	0	1	1	0	1	0	1	1	0	1	1	1	0	1
